air_temp_set_1,altimeter_set_1,precip_accum_24_hour_set_1,relative_humidity_set_1,wind_speed_set_1,Date,State,County
7.416666666666667,101997.98,1.016,68.0,1.79,2016-01-01,MD,Baltimore
2.38,101930.25,0.0,55.666666666666664,1.37,2016-01-02,MD,Baltimore
4.446,101659.33499999999,0.0,51.0,1.6766666666666665,2016-01-03,MD,Baltimore
3.5120000000000005,101422.29,0.0,51.333333333333336,2.9133333333333336,2016-01-04,MD,Baltimore
-3.008,102472.07,0.0,36.0,5.6066666666666665,2016-01-05,MD,Baltimore
-2.5060000000000002,103775.83,0.0,40.333333333333336,0.9033333333333333,2016-01-06,MD,Baltimore
-0.6083333333333333,103047.75333333334,0.0,59.25,1.175,2016-01-07,MD,Baltimore
3.138333333333333,102246.31,0.0,83.33333333333333,0.41000000000000003,2016-01-08,MD,Baltimore
5.187142857142858,101972.58,0.42333333333333334,76.8,1.332,2016-01-09,MD,Baltimore
4.544999999999999,101614.18666666666,0.889,87.66666666666667,1.38,2016-01-10,MD,Baltimore
6.579999999999999,100146.75333333334,33.528,43.75,5.857499999999999,2016-01-11,MD,Baltimore
-4.587999999999999,101760.925,0.0,32.5,0.10333333333333333,2016-01-12,MD,Baltimore
2.165,100694.22,0.254,69.5,3.6833333333333336,2016-01-13,MD,Baltimore
-3.853333333333333,101885.09666666668,0.0,37.5,1.72,2016-01-14,MD,Baltimore
5.9725,101354.56,0.0,48.333333333333336,0.14,2016-01-15,MD,Baltimore
6.99,100440.235,1.016,72.66666666666667,1.3766666666666667,2016-01-16,MD,Baltimore
5.75,100880.465,6.858,59.0,3.466666666666667,2016-01-17,MD,Baltimore
0.594,100829.675,1.016,80.66666666666667,1.7433333333333332,2016-01-18,MD,Baltimore
-8.620000000000001,102065.7,0.0,37.666666666666664,4.51,2016-01-19,MD,Baltimore
-5.446666666666666,102494.64666666667,0.0,44.75,4.81,2016-01-20,MD,Baltimore
-2.82,101896.385,0.0,47.5,0.3233333333333333,2016-01-21,MD,Baltimore
-2.105,102494.64666666667,0.254,51.75,2.525,2016-01-22,MD,Baltimore
-6.326666666666667,101828.65333333332,0.0,87.5,2.7824999999999998,2016-01-23,MD,Baltimore
-3.6957142857142857,100533.36499999999,0.0,92.0,5.64,2016-01-24,MD,Baltimore
-2.8349999999999995,101862.52333333332,3.175,60.25,0.7275,2016-01-25,MD,Baltimore
0.4119999999999999,102455.135,2.032,55.75,0.43333333333333335,2016-01-26,MD,Baltimore
8.276,101506.95000000001,0.0,62.0,1.9133333333333333,2016-01-27,MD,Baltimore
1.5040000000000002,102116.5,0.0,52.333333333333336,1.5633333333333335,2016-01-28,MD,Baltimore
1.9299999999999997,100745.015,0.0,65.66666666666667,1.11,2016-01-29,MD,Baltimore
-0.215,101049.79,0.0,49.0,4.66,2016-01-30,MD,Baltimore
